url,source_name,publication_date,rating,n_vereditos,chaves_canonicas,rotulos,misto,rotulo_consolidado,excluido_do_banco_de_estimulos,motivo_da_exclusao
https://projetocomprova.com.br/publica%C3%A7%C3%B5es/tuite-usa-afirmacoes-falsas-de-medico-canadense-para-negar-a-pandemia/,COMPROVA,2020-12-16,['Falso'],1,falso,falso,False,falso,False,
https://projetocomprova.com.br/publica%C3%A7%C3%B5es/e-impossivel-que-vacina-cause-alteracoes-geneticas-dizem-especialistas/,COMPROVA,2020-12-15,['Falso'],1,falso,falso,False,falso,False,
https://projetocomprova.com.br/publica%C3%A7%C3%B5es/vacina-que-teve-estudos-suspensos-no-peru-nao-e-a-mesma-testada-no-brasil/,COMPROVA,2020-12-14,['Enganoso'],1,enganoso,verdadeiro fora de contexto ou exagerado,False,verdadeiro fora de contexto ou exagerado,False,
https://projetocomprova.com.br/publica%C3%A7%C3%B5es/jornal-americano-nao-acusou-doria-de-receber-propina-da-sinovac/,COMPROVA,2020-12-14,['Falso'],1,falso,falso,False,falso,False,
https://projetocomprova.com.br/publica%C3%A7%C3%B5es/pacientes-com-lupus-nao-sao-imunes-ao-novo-coronavirus/,COMPROVA,2020-12-09,['Falso'],1,falso,falso,False,falso,False,
https://projetocomprova.com.br/publica%C3%A7%C3%B5es/mascara-nao-causa-acumulo-de-liquido-nos-pulmoes-nem-intoxicacao/,COMPROVA,2020-12-07,['Falso'],1,falso,falso,False,falso,False,
https://projetocomprova.com.br/publica%C3%A7%C3%B5es/virus-nao-foi-feito-na-franca-e-vacinas-nao-sao-uma-iniciativa-globalista-para-reduzir-a-populacao/,COMPROVA,2020-12-02,['Falso'],1,falso,falso,False,falso,False,
https://projetocomprova.com.br/publica%C3%A7%C3%B5es/e-falso-que-buzios-zerou-casos-de-covid-pos-carnaval-gracas-a-tratamento-precoce/,COMPROVA,2021-03-03,['Falso'],1,falso,falso,False,falso,False,
https://projetocomprova.com.br/publica%C3%A7%C3%B5es/e-enganoso-que-ponte-de-concreto-no-mt-seja-obra-do-governo-bolsonaro/,COMPROVA,2021-03-02,['Enganoso'],1,enganoso,verdadeiro fora de contexto ou exagerado,False,verdadeiro fora de contexto ou exagerado,False,
https://projetocomprova.com.br/publica%C3%A7%C3%B5es/chuvas-nao-impedem-desmatamento-na-amazonia-saiba-como-sao-feitas-as-medicoes-do-inpe/,COMPROVA,2019-07-30,['Falso'],1,falso,falso,False,falso,False,
https://projetocomprova.com.br/publica%C3%A7%C3%B5es/video-distorce-informacoes-sobre-o-uso-da-cloroquina-para-a-covid-19/,COMPROVA,2020-05-29,['Enganoso'],1,enganoso,verdadeiro fora de contexto ou exagerado,False,verdadeiro fora de contexto ou exagerado,False,
https://projetocomprova.com.br/publica%C3%A7%C3%B5es/boato-usa-frase-de-doria-para-levantar-duvidas-sobre-a-extensao-da-pandemia/,COMPROVA,2020-05-29,['Enganoso'],1,enganoso,verdadeiro fora de contexto ou exagerado,False,verdadeiro fora de contexto ou exagerado,False,
https://projetocomprova.com.br/publica%C3%A7%C3%B5es/video-plandemic-faz-afirmacoes-falsas-sobre-a-covid-19/,COMPROVA,2020-05-26,['Falso'],1,falso,falso,False,falso,False,
https://projetocomprova.com.br/publica%C3%A7%C3%B5es/video-engana-ao-atribuir-protesto-na-belgica-a-profissionais-de-saude-de-sao-paulo/,COMPROVA,2020-05-26,['Falso'],1,falso,falso,False,falso,False,
https://projetocomprova.com.br/publica%C3%A7%C3%B5es/medico-confunde-ao-indicar-cloroquina-e-criticar-isolamento-social-e-o-uso-de-respiradores/,COMPROVA,2020-05-22,['Enganoso'],1,enganoso,verdadeiro fora de contexto ou exagerado,False,verdadeiro fora de contexto ou exagerado,False,
https://projetocomprova.com.br/publica%C3%A7%C3%B5es/video-engana-ao-sugerir-tratamento-sem-internacao-e-sem-sofrimento-para-covid-19/,COMPROVA,2020-05-21,['Enganoso'],1,enganoso,verdadeiro fora de contexto ou exagerado,False,verdadeiro fora de contexto ou exagerado,False,
https://projetocomprova.com.br/publica%C3%A7%C3%B5es/policia-dos-eua-nao-ve-relacao-entre-morte-de-cientista-chines-e-pesquisa-sobre-mecanismo-de-infeccao-pelo-novo-coronavirus/,COMPROVA,2020-05-20,['Enganoso'],1,enganoso,verdadeiro fora de contexto ou exagerado,False,verdadeiro fora de contexto ou exagerado,False,
https://projetocomprova.com.br/publica%C3%A7%C3%B5es/texto-engana-ao-afirmar-que-autopsias-na-italia-teriam-indicado-que-problema-principal-nao-era-o-coronavirus/,COMPROVA,2020-05-20,['Enganoso'],1,enganoso,verdadeiro fora de contexto ou exagerado,False,verdadeiro fora de contexto ou exagerado,False,
https://projetocomprova.com.br/publica%C3%A7%C3%B5es/site-exagera-falas-de-medico-alemao-sobre-medidas-rigidas-contra-o-novo-coronavirus/,COMPROVA,2020-05-18,['Enganoso'],1,enganoso,verdadeiro fora de contexto ou exagerado,False,verdadeiro fora de contexto ou exagerado,False,
https://projetocomprova.com.br/publica%C3%A7%C3%B5es/infectologista-david-uip-apoia-politicas-de-distanciamento-social-do-governo-paulista/,COMPROVA,2020-05-15,['Falso'],1,falso,falso,False,falso,False,
https://projetocomprova.com.br/publica%C3%A7%C3%B5es/nem-todos-pacientes-de-covid-19-de-hospital-do-piaui-receberam-alta-apos-tratamento-com-cloroquina/,COMPROVA,2020-05-14,['Enganoso'],1,enganoso,verdadeiro fora de contexto ou exagerado,False,verdadeiro fora de contexto ou exagerado,False,
https://projetocomprova.com.br/publica%C3%A7%C3%B5es/sepultamentos-cresceram-47-no-cemiterio-vila-formosa-em-sao-paulo-entre-marco-e-abril/,COMPROVA,2020-05-14,['Falso'],1,falso,falso,False,falso,False,
https://projetocomprova.com.br/publica%C3%A7%C3%B5es/mascaras-nao-reduzem-imunidade-e-ajudam-no-combate-ao-novo-coronavirus/,COMPROVA,2020-05-13,['Falso'],1,falso,falso,False,falso,False,
https://projetocomprova.com.br/publica%C3%A7%C3%B5es/cloroquina-nao-e-alvo-de-conspiracao-a-favor-do-remdesivir/,COMPROVA,2020-05-13,['Enganoso'],1,enganoso,verdadeiro fora de contexto ou exagerado,False,verdadeiro fora de contexto ou exagerado,False,
